KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
pda_iG40h,[b]Prologue:[/b] [b][c][00fbff]Journey into the unknown[-][/c][/b],,,,,,,,,,,,,,,,
pda_mKuKK,"[b][c][00fbff]Prologue: Journey into the unknown[-][/c][/b]\n\nYou've awoken in a damaged escape pod, injured and alone after it's plummeted through the atmosphere of an unknown world.\nWith no memory of how you got here and little at your disposal, the crackling of your suit's radio puts you on the path toward answers somewhere out in the wilderness of this alien planet.",,,,,,,,,,,,,,,,
pda_isaCK,"[b][c][00fbff]Prologue: Journey into the unknown[-][/c][/b]\n\nYou've awoken in a damaged escape pod, injured and alone after it's plummeted through the atmosphere of an unknown world.\nWith no memory of how you got here and little at your disposal, the crackling of your suit's radio puts you on the path toward answers somewhere out in the wilderness of this alien planet.\n\n***\n[c][1083fe]This is the beginning of the main Empyrion Storyline[-][/c]",,,,,,,,,,,,,,,,
pda_4uW88,"[b][c][ff0000]Important !![-][/c][/b]\nYou can activate the main storyline missions via PDA (F1) at any time.\n\nPlease bear in mind, the storyline consists of consecutively linked chapters. Starting the storyline while having played for a while, sometimes might lead to its missions, related POI and the order of events [u]not working as expected anymore[/u].",,,,,,,,,,,,,,,,
pda_t8uSu,A whole new world,,,,,,,,,,,,,,,,
pda_OHW4q,Recollections,,,,,,,,,,,,,,,,
pda_gLC84,===,,,,,,,,,,,,,,,,
pda_44CuO,Wh... What happened to the station?! To the Crew?!\nI've got to radio the fleet!,,,,,,,,,,,,,,,,
pda_m00mm,Transmitting,,,,,,,,,,,,,,,,
pda_40bGa,Static,,,,,,,,,,,,,,,,
pda_cVmKO,===,,,,,,,,,,,,,,,,
pda_r08G8,[b][c][a1a1a1]< Radio Static >[-][/c][/b],,,,,,,,,,,,,,,,
pda_8SOmG,The Signal,,,,,,,,,,,,,,,,
pda_4W48m,Unknown Source,,,,,,,,,,,,,,,,
pda_2SmuW,===,,,,,,,,,,,,,,,,
pda_u0u8q,[b][c][a1a1a1]< Static > [-][/c][c][00e1ff]...ntelli...data...signal...radi...cal...ration...assist...transm...on...oceed...[-][/c][c][a1a1a1] < Static >[-][/c][/b],,,,,,,,,,,,,,,,
pda_m4We4,Hope rising,,,,,,,,,,,,,,,,
pda_Cui84,Boosting the signal,,,,,,,,,,,,,,,,
pda_sWeam,===,,,,,,,,,,,,,,,,
pda_e0m8O,But I can't understand what they're saying.\nI need some way to clean up their transmission...\n\nThere's probably [c][fbff00]an Antenna[-][/c] among some of the wreckage on the ground that I can use to boost the signal strength. It's just a matter of finding a functional device.,,,,,,,,,,,,,,,,
pda_mS0u0,MacGyver,,,,,,,,,,,,,,,,
pda_uqiiG,Find a usable antenna among the wreckage,,,,,,,,,,,,,,,,
pda_WG08Y,Somewhere in this wreckage is a UCH Antenna I can use to boost the gain of my suit's radio.\n\n[c][ff0000][b]This mission can only be completed on the default starting planets at the crash site[/b][-][/c],,,,,,,,,,,,,,,,
pda_iqSK4,That [i]looks [/i]like an Antenna off a UCH Crusader-Class Frigate!\nThat [i]should [/i]be able to do the job it if it's not too damaged.,,,,,,,,,,,,,,,,
pda_0kOaC,Send and Receive,,,,,,,,,,,,,,,,
