KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dlgTCHolyStatue,Oh {PlayerName}. I see you have the holy statue of our people. Do you want to give it to me?,,,,,,,,"О {PlayerName}. Я вижу, у вас есть святая статуя нашего народа. Ты хочешь отдать её мне?",,,,,,,,
dlgTCBadRepu,You need a friendly reputation or better to the Talon,,,,,,,,"Вам нужна дружелюбная репутация у Талон или лучше, тогда я с вами поговорю.",,,,,,,,
dlgTCTellMeStory,Tell me the story about your people,,,,,,,,Расскажи мне историю о своих людях,,,,,,,,
dlgTCGreetings,Greetings {PlayerName}. What do you want from me?,,,,,,,,Привет {PlayerName}. Чего ты хочешь от меня?,,,,,,,,
txt_mWeCe,Welcome {PlayerName} to a round of cards!,,,,,,,,Добро пожаловать {PlayerName} в раунд карт!,,,,,,,,
txt_UGmuO,Card Dealer,,,,,,,,Карточный дилер,,,,,,,,
txt_mq8OK,We will play for <color=#fddc1e>Gold Coins</color>.\nHow many <color=#fddc1e>Gold Coins</color> do you want to bet?,,,,,,,,Мы будем играть на <color=#fddc1e>золотые монеты</color>.\nСколько <color=#fddc1e>золотых монет</color> вы хотите поставить?,,,,,,,,
txt_4WUCq,1 <color=#fddc1e>Gold Coin</color>,,,,,,,,1 <color=#fddc1e>Золотая Монета</color>,,,,,,,,
txt_Zi4Gm,10 <color=#fddc1e>Gold Coins</color>,,,,,,,,10 <color=#fddc1e>Золотых Монет</color>,,,,,,,,
txt_BxmOu,100 <color=#fddc1e>Gold Coins</color>,,,,,,,,100 <color=#fddc1e>Золотых Монет</color>,,,,,,,,
txt_8cmWW,It seems you don't have enough <color=#fddc1e>Gold Coins</color>...get some and come back. Bye,,,,,,,,"Кажется, у вас недостаточно <color=#fddc1e>золотых монет</color>... возьмите немного и возвращайтесь. До свидания.",,,,,,,,
txt_S0uKE,You bet {GoldCoinsPlayerBet} <color=#fddc1e>Gold Coins</color> and I will also bet {GoldCoinsPlayerBet} <color=#fddc1e>Gold Coins</color>. \n\nYour first card is <color=#019245><b>{PlayerCards}</b></color>.,,,,,,,," Вы ставите {GoldCoinsPlayerBet} <color=#fddc1e>золотые монеты</color>, и я также ставлю {GoldCoinsPlayerBet} <color=#fddc1e>золотые монеты</color>. \n\nВаша первая карта - <color=#019245><b>{PlayerCards}</b></color>.",,,,,,,,
txt_aqCI0,Do you want another card?,,,,,,,,Хочешь другую карту?,,,,,,,,
txt_GiiaK,Yes,,,,,,,,Да,,,,,,,,
txt_8OGas,No,,,,,,,,Нет,,,,,,,,
txt_GaeK3,Your next card is <color=#019245><b>{NextCard}</b></color>. \nNow you have <color=#fd9b00><b>{PlayerCards}</b></color> in total!,,,,,,,,Ваша следующая карта — <color=#019245><b>{NextCard}</b></color>. \nТеперь у вас всего <color=#fd9b00><b>{PlayerCards}</b></color>!,,,,,,,,
txt_G0Fqm,<color=#cf0707>You lost!</color>,,,,,,,,<color=#cf0707>Вы проиграли!</color>,,,,,,,,
txt_O4W4q,My first card is a <color=#019494>{DealerCards}</color>,,,,,,,,Моя первая карта - <color=#019494>{DealerCards}</color>,,,,,,,,
txt_0CqKm,My next card is <color=#019494>{DealerNewCard}</color>.   Now I have <color=#019494><b>{DealerCards}!</b></color>,,,,,,,,Моя следующая карта - <color=#019494>{DealerNewCard}</color>. Теперь у меня <color=#019494><b>{DealerCards}!</b></color>,,,,,,,,
txt_40jMG,<color=#019245><b>You won! </b></color>Here take your <color=#fddc1e>{2*GoldCoinsPlayerBet} Gold Coins</color>!,,,,,,,, <color=#019245><b>Вы выиграли! </b></color>Вот ваши <color=#fddc1e>{2*GoldCoinsPlayerBet} золотые монеты</color>!,,,,,,,,
txt_8mhiq,You have <color=#fd9b00>{PlayerCards}</color>. <color=#ff0000>You lost!</color>,,,,,,,, У вас есть <color=#fd9b00>{PlayerCards}</color>. <color=#ff0000>Вы проиграли!</color>,,,,,,,,
txt_8Ujii,You have <color=#019245>won {TotalGamesWon}</color> and <color=#cf0707>lost {TotalGamesLost}</color> <color=#cf0707></color>games in this session so far.\nDo you want to play again?,,,,,,,,Вы <color=#019245>выиграли {TotalGamesWon}</color> и <color=#cf0707>проиграли {TotalGamesLost}</color> <color=#cf0707></color>игр в этом сеансе.\nХотите сыграть еще раз?,,,,,,,,
txt_vmOu4,Yes,,,,,,,,Да,,,,,,,,
txt_8Oiie,No,,,,,,,,Нет,,,,,,,,
txt_O8CaF,Come back soon! Bye.,,,,,,,,Возвращайся скорее! До свидания.,,,,,,,,
txt_oiqaF,"First I draw cards for you, then for myself. Whoever comes closest to Number 21 wins. The card I draw has the number from 1 to 11. After each card you have the choice to stop.\nIf you win, you get my part on top of your bet.",,,,,,,,"Сначала рисую карты для вас, потом для себя. Выигрывает тот, кто ближе всего подойдёт к номеру 21. Карта, которую я вытягиваю, имеет номер от 1 до 11. После каждой карты у вас есть выбор остановиться.\nЕсли вы выиграете, вы получите мою часть сверх вашей ставки.",,,,,,,,
txt_emqJ4,"Ok thanks, I got it <i><color=#ffffff>(Back)</color></i>",,,,,,,,"Хорошо, спасибо, понял <i><color=#ffffff>(Назад)</color></i>",,,,,,,,
txt_80qd8,"Wait, how does it work?",,,,,,,,"Подождите, как это работает?",,,,,,,,
txt_O4ame,You lost 20 times on my table by now. Come back later and think about getting a real job maybe.,,,,,,,,"Ты уже 20 раз проиграл за моим столом. Возвращайтесь позже и подумай о том, чтобы, может быть, устроиться на настоящую работу.",,,,,,,,
txt_KaO0m,It's you again! Our Management ordered me to refuse playing with you. Come back later.,,,,,,,,Это снова ты! Наше руководство приказало мне отказаться от игры с тобой. Зайди позже.,,,,,,,,
txt_eeUSG,Can you tell me my Statistics first?,,,,,,,,Можешь сначала сказать мне мою статистику?,,,,,,,,
txt_WKaie,On my table you played <color=#ffffff>{GamesPlayed}</color> times.\n\nYou <color=#019245>won {TableGamesWon}</color> times.\nYou <color=#cf0707>lost {TableGamesLost}</color> times.\n\nYou <color=#019245>won {TableCoinsWon}</color> <color=#fddc1e>Gold Coins</color>.\nYou <color=#cf0707>lost {TableCoinsLost}</color> <color=#fddc1e>Gold Coins</color>.,,,,,,,,За моим столом вы играли <color=#ffffff>{GamesPlayed}</color> раз.\n\nВы <color=#019245>выиграли {TableGamesWon}</color> раз.\nВы <color=#cf0707>проиграли {TableGamesLost} </color>раз.\n\nВы <color=#019245>выиграли {TableCoinsWon}</color> <color=#fddc1e>золотых монет</color>.\nВы <color=#cf0707>проиграли {TableCoinsLost}</color> <color=#fddc1e>Золотые монеты</color>.,,,,,,,,
txt_aCMq8,Alright then... <i><color=#ffffff>(Back)</color></i>,,,,,,,,Хорошо... <i><color=#ffffff>(Назад)</color></i>,,,,,,,,
dialogue_traderSplit1,How may I serve you?,,,,,,,,Чем я могу служить вам?,,,,,,,,
dialogue_traderSplit1a,Heard anything interesting lately?,,,,,,,,Какие последние новости?,,,,,,,,
dialogue_traderSplit1b,I'm here to shop.,,,,,,,,Я хочу торговать,,,,,,,,
dialogue_traderSplit2,We currently have a sale going on. Be sure to buy while you can!,,,,,,,,Всегда стоит ожидать специальных предложений!,,,,,,,,
dialogue_traderSplit2a,Very good.,,,,,,,,Очень хорошо!,,,,,,,,
dialogue_traderSplit2b,I'll pass.,,,,,,,,До свидания.,,,,,,,,
dialogue_O2uWK,I've spent too long away from my family... My contract is almost up and i'll finally be able to go home.,,,,,,,,"Я скучаю по семье. Надеюсь, я скоро их увижу.",,,,,,,,
dialogue_CKKaK,I heard there are fish up in the ponds on the Presidium. Do you think that's true?,,,,,,,,"Я скучаю по семье. Жертвы, которые мы приносим.",,,,,,,,
dialogue_W8uBS,"Polaris has good prices but poor quality merchandise. On the other hand, the Trade Federation's products are always top quality but are too expensive for my budget. What should I do?",,,,,,,,У торговой федерации плохие цены.,,,,,,,,
dialogue_wWKTq,I heard an idiot keep insisting that TOP brewery makes root beer! That stuff has enough alcohol to degrease an engine!\nI know for a fact that you can treat infected wounds and dermal parasites with it!,,,,,,,,Рутбир в этой галактике действительно хорош!,,,,,,,,
dialogue_oKiaa,"I hear someone talking about a new simulation today, it's called 'Project Eden' and they say it is great!",,,,,,,,"Я слышал, как сегодня кто-то говорит о новой симуляции, она называется «Проект Эдем», и они говорят, что она великолепна!",,,,,,,,
dialogue_aq0uu,I'm tired of life on this space station. Maybe I should sign up for one of the colonies in the outer reaches?,,,,,,,,"Фрэнсис Тэлин только что анонсировал новую версию «UI». Я слышал, у нее красивые цвета.",,,,,,,,
dialogue_4exuC,Why are there so few variants of alien life in this galaxy? You'd expect to see at least <i>something </i>different on each planet!,,,,,,,,Сила .. тентаклей!,,,,,,,,
dialogue_OqiK0,Have you heard of 'Discord'? I heard they're a music group from Baymax 6.,,,,,,,,Я слышал о создании новой музыкальной группы. Они называют себя Discord.,,,,,,,,
dialogue_4ieSe,"I heard strange noises coming from a vent on the last colony I visited, I couldn't sleep at all.",,,,,,,,"Я слышал странные звуки, доносящиеся из вентиляционного отверстия последней посещенной нами колонии, и не мог спать из за этого.",,,,,,,,
dialogue_uqqiK,I can't wait to ship out of this dump. The goons from HabSec keep conducting 'random' searches on my bags. It's clearly discrimination!,,,,,,,,Мне нравится смотреть на планету.,,,,,,,,
dialogue_3uku4,"A lot of people complain about the Zirax's governing. Honestly, I think they're fine. They could've regressed into complete tyranny but have kept to their treaties and keep the galaxy safe.",,,,,,,,Зиракс - прекрасные губернаторы. Никаких правил!,,,,,,,,
dialogue_mqS04,"I've heard that Vermillion of Forge Aerospace has been contracted by Rados to build new bases for them. He has an apartment on one of the trade stations, but I don't know which.",,,,,,,,"Я лучше умру, чем буду платить больше налогов.",,,,,,,,
dialogue_We84e,I'm looking for ship to Farpoint Station. Are you a Federation captain? No? Oh well.,,,,,,,,"Там нет завтра, только сегодня!",,,,,,,,
dialogue_uECW0,I saw an idiot flying a Naginata the other day. I suppose 'crashing' is probably the better term. Smashed right into the ground outside an Abyssal fortress on a Plasma planet!,,,,,,,,У этого места много хороших качеств.,,,,,,,,
