KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
ConcreteDestroyedBlocks,Concrete Blocks (Damaged),,,,,,,,Бетонные блоки - разбитые,,,,,,,,
ConcreteFull,Concrete Block,,,,,,,,Бетонный блок,,,,,,,,
ConcreteFullDestroyed,Concrete Block - (Damaged),,,,,,,,Бетонный блок - разбитый,,,,,,,,
ConcreteThin,Concrete Block,,,,,,,,Бетонный блок (тонкий),,,,,,,,
ConcreteThinBlocks,Concrete Thin Blocks,,,,,,,,Бетонные блоки (тонкие),,,,,,,,
ConcreteThinDestroyed,Concrete Thin Blocks (Damaged),,,,,,,,Бетонные блоки (тонкие) - разбитые,,,,,,,,
GrowingPot,Hydroponics Unit (Steel),,,,,,,,Растительный модуль (Сталь),,,,,,,,
GrowingPotConcrete,Hydroponics Unit (Concrete),,,,,,,,Растительный модуль (Бетон),,,,,,,,
GrowingPotWood,Hydroponics Unit (Wood),,,,,,,,Растительный модуль (Дерево),,,,,,,,
HullArmoredFull,Hardened Steel Block,,,,,,,,Прочный стальной блок,,,,,,,,
HullArmoredFullLarge,Hardened Steel Block (Large),,,,,,,,Прочный стальной блок Б,,,,,,,,
HullArmoredFullSmall,Hardened Steel Block (Small),,,,,,,,Прочный стальной блок М,,,,,,,,
HullArmoredLargeBlocks,Hardened Steel Blocks (Large),,,,,,,,Прочные стальные блоки Б,,,,,,,,
HullArmoredSmallBlocks,Hardened Steel Blocks (Small),,,,,,,,Прочные стальные блоки М,,,,,,,,
HullArmoredThin,Hardened Steel Block,,,,,,,,Прочный стальной блок (тонкий),,,,,,,,
HullArmoredThinLarge,Hardened Steel Block (Large),,,,,,,,Прочный стальной блок Б (тонкий),,,,,,,,
HullArmoredThinLargeBlocks,Hardened Steel Thin Blocks (Large),,,,,,,,Прочные стальные блоки Б (тонкие),,,,,,,,
HullArmoredThinSmall,Hardened Steel Block (Small),,,,,,,,Прочный стальной блок М (тонкий),,,,,,,,
HullArmoredThinSmallBlocks,Hardened Steel Thin Blocks (Small),,,,,,,,Прочные стальные блоки М (тонкие),,,,,,,,
HullCombatFullLarge,Combat Steel Block (Large),,,,,,,,Блок из оружейной стали Б,,,,,,,,
HullCombatLargeBlocks,Combat Steel Blocks (Large),,,,,,,,Блоки из оружейной стали Б,,,,,,,,
HullCombatThinLarge,Combat Steel Block (Large),,,,,,,,Блок из оружейной стали Б (тонкий),,,,,,,,
HullCombatThinLargeBlocks,Combat Steel Thin Blocks (Large),,,,,,,,Блоки из оружейной стали Б (тонкие),,,,,,,,
HullDestroyed,Steel Blocks - Damaged,,,,,,,,Стальные блоки - разбитые,,,,,,,,
HullFull,Steel Block,,,,,,,,Стальной блок,,,,,,,,
HullFullLarge,Steel Block (Large),,,,,,,,Стальной блок Б,,,,,,,,
HullFullLargeDestroyed,Steel Block (Large) - Damaged,,,,,,,,Стальной блок Б - разбитый,,,,,,,,
HullFullSmall,Steel Block (Small),,,,,,,,Стальной блок М,,,,,,,,
HullFullSmallDestroyed,Steel Block (Small) - Damaged,,,,,,,,Стальной блок М - разбитый,,,,,,,,
HullLargeBlocks,Steel Blocks (Large),,,,,,,,Стальные блоки Б,,,,,,,,
HullLargeDestroyedBlocks,Steel Blocks (Large) - Damaged,,,,,,,,Стальные блоки Б - разбитые,,,,,,,,
HullSmallBlocks,Steel Blocks (Small),,,,,,,,Стальные блоки М,,,,,,,,
