KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
pda_iG40h,[b]Prologue:[/b] [b][c][00fbff]Journey into the unknown[-][/c][/b],,,,,,,,[b]Пролог:[/b] [b][c][00fbff]Путешествие в Неизвестность[-][/c][/b],,,,,,,,
pda_mKuKK,"[b][c][00fbff]Prologue: Journey into the unknown[-][/c][/b]\n\nYou've awoken in a damaged escape pod, injured and alone after it's plummeted through the atmosphere of an unknown world.\nWith no memory of how you got here and little at your disposal, the crackling of your suit's radio puts you on the path toward answers somewhere out in the wilderness of this alien planet.",,,,,,,,"[b][c][00fbff]Пролог: Путешествие В Неизвестность[-][/c][/b]\n\n Вы очнулись в поврежденной спасательной капсуле, с ссадинами и порезами на теле, после того, как она упала в атмосферу неизвестной планеты. В полном одиночестве...Не имея ни малейшего понятия, как вы сюда попали.\n Осмотревшись вы понимаете, что у вас не полный аварийный комплект. И тут, сквозь шум в ушах, до вас доносится тихое потрескивание рации вашего костюма. Собравшись с мыслями, вы решаете заняться поиском ответов в дебрях этой чужой планеты.",,,,,,,,
pda_isaCK,"[b][c][00fbff]Prologue: Journey into the unknown[-][/c][/b]\n\nYou've awoken in a damaged escape pod, injured and alone after it's plummeted through the atmosphere of an unknown world.\nWith no memory of how you got here and little at your disposal, the crackling of your suit's radio puts you on the path toward answers somewhere out in the wilderness of this alien planet.\n\n***\n[c][1083fe]This is the beginning of the main Empyrion Storyline[-][/c]",,,,,,,,"[b][c][00fbff]Пролог: Путешествие В Неизвестность[-][/c][/b]\n\n Вы очнулись в поврежденной спасательной капсуле, с ссадинами и порезами на теле, после того, как она упала в атмосферу неизвестной планеты. В полном одиночестве...Не имея ни малейшего понятия, как вы сюда попали.\n Осмотревшись вы понимаете, что у вас не полный аварийный комплект. И тут, сквозь шум в ушах, до вас доносится тихое потрескивание рации вашего костюма. Собравшись с мыслями, вы решаете заняться поиском ответов в дебрях этой чужой планеты.\n\n***\n [c][1083fe]Это начало основной сюжетной линии Empyrion[-][/c]",,,,,,,,
pda_4uW88,"[b][c][ff0000]Important !![-][/c][/b]\nYou can activate the main storyline missions via PDA (F1) at any time.\n\nPlease bear in mind, the storyline consists of consecutively linked chapters. Starting the storyline while having played for a while, sometimes might lead to its missions, related POI and the order of events [u]not working as expected anymore[/u].",,,,,,,,"[b][c][ff0000]Важно!![-][/c][/b]\nВы можете активировать основные сюжетные миссии с помощью КПК (F1) в любое время.\n\nЗапуск сюжетной линии после некоторого времени игры иногда может привести к тому, что ее миссии, связанные POI(ТИ) и порядок событий [u]перестают работать так, как ожидалось[/u].",,,,,,,,
pda_t8uSu,A whole new world,,,,,,,,Абсолютно Новый Мир,,,,,,,,
pda_OHW4q,Recollections,,,,,,,,Воспоминания,,,,,,,,
pda_gLC84,===,,,,,,,,,,,,,,,,
pda_44CuO,Wh... What happened to the station?! To the Crew?!\nI've got to radio the fleet!,,,,,,,,Чт... Что случилось со станцией?! Командой?! Связь...\nЯ должен попытаться связаться с флотом!,,,,,,,,
pda_m00mm,Transmitting,,,,,,,,Передача,,,,,,,,
pda_40bGa,Static,,,,,,,,Статический Шум,,,,,,,,
pda_cVmKO,===,,,,,,,,,,,,,,,,
